# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MappedFileStorage.totalBytesMapped,1783317273889000000,1783317282342000000,0
FilePageCache.uncachedFileAccess,1783317273889000000,1783317282342000000,110
DirectByteBufferAllocator.misses,1783317273889000000,1783317282342000000,193
FilePageCacheLockFree.totalClosedStoragesReclaimed,1783317273889000000,1783317282342000000,0
StorageLockContext.competingThreads.max,1783317273889000000,1783317282342000000,0
DirectByteBufferAllocator.disposed,1783317273889000000,1783317282342000000,153
FilePageCacheLockFree.totalPageAllocationsWaited,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.totalPagesReclaimed,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.totalBytesWritten,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.totalPagesWriteMs,1783317273889000000,1783317282342000000,0
DirectByteBufferAllocator.reclaimed,1783317273889000000,1783317282342000000,43
FilePageCache.pageLoads,1783317273889000000,1783317282342000000,196
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1783317273889000000,1783317282342000000,41943040
FilePageCache.pageFastCacheHits,1783317273889000000,1783317282342000000,3880
FilePageCache.pageHits,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.totalPagesHandedOver,1783317273889000000,1783317282342000000,0
MappedFileStorage.storages,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1783317273889000000,1783317282342000000,0
FilePageCache.disposedBuffers,1783317273889000000,1783317282342000000,196
FilePageCacheLockFree.totalPagesAllocated,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.totalBytesRead,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1783317273889000000,1783317282342000000,0
FilePageCache.totalPageDisposalsUs,1783317273889000000,1783317282342000000,1206
FilePageCacheLockFree.totalPagesRequested,1783317273889000000,1783317282342000000,0
MappedFileStorage.totalPagesMapped,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.heapBytesInUse,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1783317273889000000,1783317282342000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1783317273889000000,1783317282342000000,0
FilePageCache.capacityInBytes,1783317273889000000,1783317282342000000,503316478
FilePageCacheLockFree.housekeeperTurnsDone,1783317273889000000,1783317282342000000,0
StorageLockContext.competingThreads.90P,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1783317273889000000,1783317282342000000,0
FilePageCache.totalPageLoadsUs,1783317273889000000,1783317282342000000,71424
FilePageCacheLockFree.nativeBytesInUse,1783317273889000000,1783317282342000000,0
FilePageCacheLockFree.totalPagesReadMs,1783317273889000000,1783317282342000000,0
VFS.fileByIdCache.misses,1783317273889000000,1783317282342000000,0
VFS.invertedFileNameIndex.requests,1783317273889000000,1783317282342000000,0
VFS.fileChildByName,1783317273889000000,1783317282342000000,13
VFS.fileByIdCache.hits,1783317273889000000,1783317282342000000,0
